id,length,PKW_allowed
-1089407128#2_1,43.42,yes
-1117202247#0_0,120.86,yes
-1117202247#3_0,132.33,yes
-1139084789#1_0,133.89,yes
-1139084789#3_0,48.3,yes
-11663107#1_0,106.5,yes
-11663107#5_0,75.8,yes
-11663148#0_0,39.33,yes
-11663148#2_0,100.36,yes
-11665173#1_0,96.13,yes
-11917063#2_1,84.7,yes
-11917566#2_0,80.78,yes
-11917566#5_0,106.46,yes
-127791716#1_0,68.74,yes
-136538171#0_0,76.35,yes
-136538171#2_0,86.95,yes
-146977154_1,154.21,yes
-147161798#1_1,69.61,yes
-147161801_1,20.39,yes
-147161802_1,166.53,yes
-147164232#1_1,101.09,yes
-147164233#1_1,98.74,yes
-147390905#7_0,81.43,yes
-147390907#1_1,117.98,yes
-149246860#0_0,96.18,yes
-149246860#3_0,76.96,yes
-149246860#5_0,55.63,yes
-152001418#1_0,169.71,yes
-152001419_0,79.55,yes
-15218556#10_0,61.63,yes
-15218556#5_0,107.28,yes
-15218556#7_0,59.53,yes
-15218556#8_0,39.71,yes
-152419232#0_0,72.77,yes
-15734263#0_0,101.37,yes
-159977164#2_0,76.49,yes
-159977164#5_0,78.63,yes
-164974564#2_0,83.55,yes
-172288344#1_1,71.94,yes
-172288344#2_0,65.81,yes
-172288344#4_0,36.59,yes
-179097891#2_1,94.26,yes
-192236405#1_0,58.6,yes
-207098749#2_0,113.35,yes
-207126539#1_0,53.28,yes
-237087856#0_0,66.1,yes
-26154816#2_1,75,yes
-26154817#2_1,61.35,yes
-26154846#0_0,103.41,yes
-26647215#2_0,79.49,yes
-27013842#0_1,72.9,yes
-27433876#4_0,54.29,yes
-27433876#7_0,64.82,yes
-27433890#0_0,121.48,yes
-27434188#13_0,198.86,yes
-27434188#3_0,64.81,yes
-27434188#5_0,73.42,yes
-284105543#1_1,86.29,yes
-284686657_1,63.61,yes
-28630236#1_1,122.24,yes
-28682845#0_1,71.12,yes
-28682845#2_1,59.52,yes
-28682845#4_1,69.75,yes
-28682845#6_1,43.89,yes
-28682845#8_1,27.32,yes
-28785176#3_0,86.96,yes
-28809053#2_0,146.11,yes
-28818201#2_0,94.74,yes
-28818210#1_0,74.85,yes
-28818210#4_0,77.36,yes
-29116101#1_0,55.31,yes
-29116101#3_0,61.28,yes
-298904471#1_1,83.88,yes
-313465295#3_0,37.16,yes
-313465295#6_0,62.09,yes
-330403834_1,38.56,yes
-35424541#1_1,56.72,yes
-36883163#1_0,57.24,yes
-371342811#1_0,45.54,yes
-373370449#0_1,149.28,yes
-39013715#1_1,53.17,yes
-40255557#2_0,125.11,yes
-408534466#1_1,89.61,yes
-4440330#2_1,36.05,yes
-44906779#2_0,65.48,yes
-4527091_0,11.69,yes
-4558441#1_0,28.52,yes
-4575015#0_1,87.63,yes
-4592588_1,165.23,yes
-4592591#1_1,52.19,yes
-464916844#0_1,24.17,yes
-464916844#1_1,33.94,yes
-4743766#0_0,46.87,yes
-4743768#0.99_0,103.4,yes
-4803425_0,41.83,yes
-4803465#5_0,134.19,yes
-4803511#2_0,66.5,yes
-4803512#2_0,64.82,yes
-488736536#2_1,143.35,yes
-49600616#7_0,96.57,yes
-49600616#9_0,14.35,yes
-505860158_0,110.93,yes
-505860160#0_0,45.16,yes
-521669301#1_0,68.04,yes
-521669302#1_0,68.8,yes
-521669303#1_0,62.11,yes
-521669304#1_0,62.12,yes
-521669305#1_0,65.04,yes
-521669309#1_0,51.94,yes
-536841066_1,85.76,yes
-537731487#0_0,35.88,yes
-546792880#1_0,13.24,yes
-547047229#2_1,86.32,yes
-547047277#2_1,116.17,yes
-548701322#1_1,38.73,yes
-56081883#5_1,94.37,yes
-5772448#2_1,183.69,yes
-583730162#1_0,88.96,yes
-5881717#1_0,68.78,yes
-5881719#0_0,104.7,yes
-5881740#0_0,62.75,yes
-5881742#3_0,65.07,yes
-5944789#5_0,234.01,yes
-5944811#5_0,75.13,yes
-5944814#3_0,91.63,yes
-5944815#1_0,71.29,yes
-596514086#2_1,80.26,yes
-596514086#5_1,85.91,yes
-596514114#0_1,35.8,yes
-596514114#3_1,65.52,yes
-596514115_1,38.7,yes
-671965939#2_0,9.64,yes
-671965939#6_0,56.55,yes
-683609958#0_0,58.72,yes
-683609958#1_1,58.88,yes
-683609958#5_1,110.61,yes
-699663268#0_0,100,yes
-699663268#2_0,57.11,yes
-699663268#5_0,115.46,yes
-699663268#8_0,99.24,yes
-70732843#1_0,55.67,yes
-70732843#3_0,114.27,yes
-70732843#4_0,21.58,yes
-70732843#6_0,84.7,yes
-70732845#1_0,83.7,yes
-70732846#1_0,68.31,yes
-70748296#1_0,47.29,yes
-70748311#1_1,60.97,yes
-70748314#3_1,71.21,yes
-70748320#0_1,61.06,yes
-70748322#1_1,56.56,yes
-70748324#1_1,48.9,yes
-73223940#1_1,44.43,yes
-73848804#11_0,53.36,yes
-73848804#13_0,66.63,yes
-73848804#14_0,94.92,yes
-73848804#16_0,31.98,yes
-73848804#18_0,67.08,yes
-73848804#2_0,102.78,yes
-73848804#24_0,103.39,yes
-73848804#27_0,21.32,yes
-73848804#4_0,84.81,yes
-73848804#8_0,116.54,yes
-73848805#1_0,119.68,yes
-75470557#1_0,137.42,yes
-775198843#1_0,65.57,yes
-775198843#2_0,52.6,yes
-791130340#1_1,29.91,yes
-79855537#1_1,126.22,yes
-81358773#1_0,72.63,yes
-81552985#3_1,118.72,yes
-81552989#2_0,67.19,yes
-81552989#4_0,58.96,yes
-820964111#1_1,31.41,yes
-820964111#5_1,126.51,yes
-822520818#0_1,40.49,yes
-822520818#1_1,19.66,yes
-822520819_1,83.38,yes
-824639174#3_0,46.44,yes
-824639174#6_0,94.3,yes
-824639175#1_0,40.83,yes
-82956882_1,57.22,yes
-83115253#0_0,64.43,yes
-83115253#1_0,41.95,yes
-842453938_1,61.25,yes
-860373106#0_1,71.54,yes
-860373106#1_1,8.19,yes
-861311401_0,63.35,yes
-867996682#2_0,95.72,yes
-967647590#1_0,32.04,yes
#NAME?,30.91,yes
#NAME?,80.69,yes
#NAME?,26.64,yes
#NAME?,59.87,yes
#NAME?,66.53,yes
#NAME?,108.91,yes
#NAME?,89.6,yes
1007827873_0,53.87,yes
1037128392#0_0,59.05,yes
1037128393#1_1,23.79,yes
1037128394#1_1,82.89,yes
1038193211_1,25.86,yes
10690411_1,69.75,yes
1111971585#0_1,58.42,yes
1111971585#3_1,38.44,yes
1117202247#1_0,132.33,yes
1121159178#0_1,98.27,yes
1139084789#0_0,133.89,yes
1139084789#2_0,48.3,yes
1163547442_1,61.25,yes
1163561640#0_1,84.77,yes
11663107#0_0,106.5,yes
11663107#4_0,75.8,yes
11663148#0_0,39.33,yes
11663148#1_0,100.36,yes
11663444#0_0,77.96,yes
11663984#0_0,75.22,yes
11663984#3_0,75.42,yes
11665173#0_0,96.13,yes
121401274#0_0,51.95,yes
127791716#0_0,68.74,yes
136538171#0_0,76.35,yes
136538171#1_0,86.95,yes
144294982#0_1,155.58,yes
15218521#0_0,140.13,yes
15218556#2_0,107.28,yes
15218556#6_0,59.53,yes
15218556#8_0,39.71,yes
15218556#9_0,61.63,yes
15218593#0_1,56.72,yes
152419232#0_1,72.33,yes
15675699_1,89.24,yes
15675729#0_1,126.26,yes
15675745#0_1,41.17,yes
15675937#0_1,196.91,yes
15734263#0_0,101.5,yes
159977163#3_0,62.11,yes
159977164#0_0,76.49,yes
159977164#3_0,78.63,yes
164974562#0_0,77.21,yes
170032520#1_1,15.32,yes
170032532#1_1,111.65,yes
170032532#2_1,32.27,yes
170045671#1_1,223.28,yes
172288344#2_0,65.81,yes
172288344#3_0,36.59,yes
188708013#0_1,47.52,yes
188708013#1_1,160.82,yes
192236405#0_0,58.6,yes
194900946_0,21.21,yes
206592705#0_1,71.53,yes
207126539#0_0,53.28,yes
207126539#2_0,110.93,yes
208143936#0_0,29.92,yes
208143937_0,93.7,yes
210135874#0_0,21.36,yes
210135875#0_0,9.02,yes
212434409#0_1,38.59,yes
214071216#0_0,16.64,yes
214071216#1_0,18.08,yes
217451773#0_1,104.12,yes
227596610#0_1,22.49,yes
237087856#0_0,67.97,yes
24586239#1_1,84.66,yes
24586240#0_0,63.86,yes
24586242#0_1,75.37,yes
24596904#0_0,193.74,yes
24596908#0_1,32.18,yes
26154816#0_1,75,yes
26154817#0_1,61.29,yes
26154838#0_1,31.16,yes
26154846#0_0,103.42,yes
26645827#0_0,99.74,yes
26645827#3_0,62.04,yes
26645917#0_0,50.99,yes
26646072#0_0,32.93,yes
26646344#0_0,27.74,yes
26646987#2_0,63.24,yes
26646994#0_0,98.14,yes
27014683#0_0,50.56,yes
27433876#0_0,54.29,yes
27433876#5_0,64.82,yes
27433890#0_0,121.24,yes
27433890#3_0,67.84,yes
27434188#14_0,83.41,yes
27473985#0_1,105.36,yes
284686645#0_1,54.65,yes
284686646#2_1,95.61,yes
284686646#5_1,36.84,yes
284686649#0_1,68.96,yes
284686650#1_0,21.93,yes
284686651#0_1,95.88,yes
284686653#0_1,56.34,yes
284686653#2_1,51.08,yes
284686655#0_0,71.71,yes
28682845#0_1,71.12,yes
28682845#1_1,59.52,yes
28682845#3_1,69.75,yes
28682845#5_1,43.89,yes
28682845#7_1,27.32,yes
28785176#0_0,86.96,yes
28802233#0_0,238.7,yes
28802253#0_0,139.26,yes
28802258#0_0,99.42,yes
28802260#0_0,127.01,yes
28818201#0_0,94.74,yes
28818210#2_0,77.36,yes
288836366_1,44.37,yes
289146494#0_1,150.68,yes
28951462#0_1,94.99,yes
29076028#0_0,22.5,yes
29116100#0_1,77.37,yes
29116100#2_1,62.94,yes
29116100#4_1,70.87,yes
29116100#6_1,73.06,yes
29116101#0_0,55.31,yes
29116101#2_0,61.28,yes
29187759#0_0,91.51,yes
298496090#0_1,91.73,yes
298904469#1_1,99.29,yes
298904469#3_1,105.6,yes
30640404#3_0,79.29,yes
30640436#0_0,49.17,yes
30640436#1_0,113.72,yes
31261713#0_1,165.23,yes
313465295#1_0,37.16,yes
313465295#4_0,62.09,yes
313465298#0_1,59.62,yes
32928276_1,56.56,yes
32928358#0_1,65.11,yes
32928358#2_1,78.48,yes
32928358#4_1,101.33,yes
32928505_1,54.62,yes
32928521#0_1,40.61,yes
32928524#0_1,10.17,yes
32928524#1_1,50.5,yes
32928524#3_1,15.01,yes
371342811#0_0,45.54,yes
371348311_1,104.94,yes
373370449#0_0,152.16,yes
374533048_0,58.72,yes
374535325#0_0,120.86,yes
377260839#0_0,40.31,yes
378128430#0_1,107.19,yes
38259359_1,74.39,yes
39517038#0_0,81.86,yes
39524112_0,55.96,yes
40255559#2_0,122.83,yes
41221165_1,102.79,yes
422991319#0.66_0,104.16,yes
4440330#0_1,36.05,yes
44906781#0_0,115.26,yes
44906784#0_0,93.17,yes
45042938#2_0,111.29,yes
4527091_0,11.69,yes
4533224#0_1,70.65,yes
4533224#6_0,44.69,yes
4533224#8_0,36.14,yes
4533225#1_0,66.46,yes
4533225#3.78_1,60.78,yes
4533226#0_0,100,yes
4533227#0_1,79.8,yes
4533227#0.148_1,124.16,yes
4533227#0.76_1,71.84,yes
4533228#0_1,103.73,yes
4533228#4_1,92.63,yes
4558440#2_0,59.66,yes
4558440#6_0,95.37,yes
4558441#0_0,28.52,yes
4592591#0_1,52.19,yes
4592657#0_0,63.22,yes
4687928#2_0,67.97,yes
4743768#0.99_0,103.26,yes
4743769#3_0,60.53,yes
4803403#0_0,75.32,yes
4803424_0,117.54,yes
4803425_0,41.83,yes
4803453#0_0,18.03,yes
4803456#6_0,91.42,yes
4803465#0_0,134.19,yes
49600616#3_0,96.57,yes
49600616#8_0,14.35,yes
49872901_0,55.56,yes
505860160#0_0,45.16,yes
505860160#1_0,74.85,yes
5074648#2_0,30,yes
507747915_1,23.45,yes
518130252#0_0,110.26,yes
518130263#0_0,76.76,yes
521669299#2_0,133.56,yes
521669300#0_0,110.64,yes
521669303#2_0,68.8,yes
521669305#2_0,62.12,yes
526016640#0_1,65.59,yes
526016652#0_1,109.81,yes
526017777#0_1,61.85,yes
527458585#0_1,108.2,yes
527458585#2_1,59.24,yes
527458585#2.59_1,55.7,yes
537731478_1,68.79,yes
537731484_1,30.33,yes
537731485#0_1,49.49,yes
537731485#2_1,8.53,yes
537731485#2_2,8.53,yes
537731486_1,69.71,yes
537731488#0_1,38.27,yes
546792880#0_0,13.24,yes
546792882#0_0,56.34,yes
546792882#0.56_0,93.31,yes
546792884#0_0,105.12,yes
547047228_1,86.32,yes
547047275#0_1,37.4,yes
548529066#0_1,52.2,yes
550658812#0_0,74.66,yes
550658815#0_0,65.94,yes
56081883#1_1,94.37,yes
5772447#0_0,75.28,yes
5772447#3_0,73.07,yes
577305652_1,71.81,yes
583730162#0_0,88.96,yes
5881714#0_0,161.69,yes
5881714#2_0,71,yes
5881717#0_0,68.78,yes
5881718#0_0,86.93,yes
5881719#0_0,104.7,yes
5881727_0,83.7,yes
5881740#0_0,64.14,yes
5881743#0_0,170.84,yes
5944797_0,47.29,yes
5944799#1_1,25.56,yes
5944805#0_0,48.88,yes
5944806#0_0,159.58,yes
5944810#2_0,99.41,yes
5944812_1,69.58,yes
5944813#3_0,87.86,yes
5944813#6_0,63.35,yes
5944815#0_0,71.29,yes
5946346#2_1,73.12,yes
596514086#0_1,80.26,yes
596514086#3_1,85.91,yes
596514114#0_1,35.8,yes
596514114#1_1,65.52,yes
596514119#0_1,39.36,yes
596514120#0_1,39.09,yes
603655396_1,80.81,yes
618264927#0_0,37.37,yes
618264927#0_1,37.37,yes
671965939#1_0,9.64,yes
671965939#4_0,56.55,yes
683609958#1_0,58.88,yes
683609958#2_0,110.61,yes
68485346#0_1,166.75,yes
68485346#6_1,130.02,yes
699663268#1_0,57.11,yes
699663268#3_0,115.46,yes
699663268#6_0,99.24,yes
70732846#0_0,68.31,yes
70748314#0_1,71.21,yes
70748320#0_0,60.21,yes
709179651#0_1,26.89,yes
71160126#0_1,139.02,yes
73848803#0_1,100.39,yes
73848803#3_0,108.01,yes
73848803#5_1,128.14,yes
73848804#0_0,102.78,yes
73848804#12_0,66.63,yes
73848804#14_0,94.92,yes
73848804#15_0,31.98,yes
73848804#17_0,67.08,yes
73848804#19_0,103.39,yes
73848804#25_0,21.32,yes
73848804#3_0,84.81,yes
73848804#5_0,116.54,yes
73848804#9_0,53.36,yes
73848805#0_0,119.68,yes
75470557#1_0,137.42,yes
775198843#0_0,65.57,yes
775198843#2_0,52.6,yes
791130340#0_1,29.91,yes
81552996#0_0,50.03,yes
817867131#0_1,88.07,yes
817867132#0_1,22.96,yes
817922720#3_1,42.08,yes
820964111#0_1,31.41,yes
820964111#2_1,126.51,yes
824639174#2_0,46.44,yes
824639174#4_0,94.3,yes
824639175#0_0,40.83,yes
826204850#0_1,70.51,yes
826204850#2_1,116.28,yes
83115253#0_0,64.43,yes
83115253#1_0,41.95,yes
842455631_1,14.13,yes
850288300#0_1,55.32,yes
860373106#0_1,71.54,yes
860373106#1_1,8.19,yes
867996682#0_0,95.72,yes
967647588#0_0,67.91,yes
968498005_1,71.94,yes
976011959#0_0,30.87,yes
9922841_1,70.05,yes
9935272#0_0,44.84,yes
9935272#2_0,41.63,yes
9935272#4_0,82.13,yes
9938219#0_0,67.12,yes
9938260#0_0,53.38,yes
9938260#3_0,82.06,yes
E108_0,30.91,yes
E11_0,80.69,yes
E113_0,26.64,yes
E13_0,119.5,yes
E23_1,59.87,yes
E24_1,90.18,yes
E4_0,66.53,yes
E6_1,108.9,yes
E7_0,208.58,yes
E8_0,111.28,yes
-1007827874#1_0,82.14,no
-1011249147#0_0,16.68,no
-1037128391#1_0,84.64,no
-1037128393#0_0,59.05,no
-1037128394#0_0,23.76,no
-1089407128#2_0,43.42,no
-1111971585#2_0,58.42,no
-1111971585#4_0,38.44,no
-11662745#2_0,91.47,no
-11663107#3_0,45.52,no
-11663107#8_0,119.24,no
-11663148#5_0,97.97,no
-11917063#2_0,84.7,no
-129523162#0_0,96,no
-13863761#2_0,75.63,no
-146977154_0,154.21,no
-147161798#1_0,69.61,no
-147161801_0,20.39,no
-147161802_0,166.53,no
-147164232#1_0,101.09,no
-147164233#1_0,98.74,no
-147213253#0_0,80.28,no
-147390905#1_0,119.94,no
-147390905#4_0,77.49,no
-147390907#1_0,117.98,no
-152001416#1_0,83.41,no
-152001420#0_0,102.63,no
-152001420#2_0,88.43,no
-15675729#0_0,127.67,no
-15675745#2_0,41.17,no
-15675937#0_0,198.14,no
-159977163#2_0,77.58,no
-164974561#1_0,83.31,no
-164974562#3_0,77.21,no
-164974564#5_0,56.16,no
-172288344#1_0,71.94,no
-179097891#2_0,94.26,no
-188708013#0_0,50.24,no
-188708013#1_0,160.78,no
-194900947#0_0,100.93,no
-198410712#0_0,18.71,no
-206592705#0_0,74.06,no
-207098749#6_0,86.78,no
-207098958#0_0,71.53,no
-207683800#2_0,74.91,no
-208143935#2_0,63.55,no
-208143936#0_0,33.75,no
-212434409#0_0,42.22,no
-22944585#2_0,82.22,no
-22944589#2_0,97.86,no
-24586239#0_0,82.84,no
-24586240#0_0,63.94,no
-26154816#2_0,75,no
-26154817#2_0,61.35,no
-26645212#4_0,141.74,no
-26645942#0_0,61.53,no
-26645995#0_0,97.57,no
-26646052#0_0,114,no
-26646072#1_0,32.93,no
-26646344#1_0,27.74,no
-26646987#1_0,62.34,no
-26646987#4_0,63.24,no
-26646994#0.98_0,55.86,no
-27013842#0_0,72.9,no
-28128254#0_0,36.65,no
-284105543#1_0,86.29,no
-28420432#2_0,80.16,no
-284686657_0,63.61,no
-28630236#1_0,122.24,no
-28682845#0_0,71.12,no
-28682845#2_0,59.52,no
-28682845#4_0,69.75,no
-28682845#6_0,43.89,no
-28682845#8_0,27.32,no
-28784092#4_0,54.29,no
-28802238#2_0,117.68,no
-28802258#2_0,99.42,no
-28802260#3_0,127.01,no
-28802405#2_0,28.85,no
-28802414#2_0,127.14,no
-28809053#5_0,121.26,no
-28817182#3_0,100.66,no
-28818201#5_0,96.81,no
-28818210#6_0,53.76,no
-28877571#1_0,94.85,no
-28951462#3_0,94.99,no
-29116100#1_0,77.37,no
-29116100#1_1,77.37,no
-29116100#3_0,62.94,no
-29116100#3_1,62.94,no
-29116100#5_0,70.87,no
-29116100#5_1,70.87,no
-29116100#8_0,73.06,no
-29116100#8_1,73.06,no
-291877171#0_0,150.8,no
-298904469#0_0,83.88,no
-298904469#2_0,99.29,no
-298904469#5_0,105.6,no
-298904471#1_0,83.88,no
-30640404#0_0,85.04,no
-30640404#7_0,51.67,no
-30640436#0_0,48.54,no
-30640436#1_0,113.06,no
-31240870#0_0,48.43,no
-313465295#0_0,49.04,no
-313465298#1_0,59.62,no
-31785331#3_0,139.62,no
-330403834_0,38.56,no
-35424541#1_0,56.72,no
-371721856#2_0,105.96,no
-373370449#0_0,149.28,no
-377260838#2_0,89.62,no
-39013715#1_0,53.17,no
-39517039#0_0,55.74,no
-39517041#2_0,96.28,no
-40255559#5_0,122.83,no
-40255560#5_0,119.55,no
-40255561#5_0,72.59,no
-40255562#3_0,111.53,no
-408534466#1_0,89.61,no
-422991319#0_0,67.26,no
-43566484#4_0,65.08,no
-43566484#8_0,67.36,no
-4440330#2_0,36.05,no
-44906779#9_0,218.63,no
-44906784#2_0,93.17,no
-45042937#0_0,125.62,no
-45042938#0_0,60.3,no
-45042938#2_0,112.71,no
-45042939#0_0,122.92,no
-4533225#2_0,66.46,no
-4533225#7_0,60.78,no
-4533225#7.62_0,77.03,no
-4533227#0_0,79.8,no
-4533227#5_0,124.16,no
-4533227#5.124_0,71.84,no
-4558440#1_0,66.99,no
-4558440#5_0,59.66,no
-4558440#9_0,95.37,no
-4575015#0_0,87.63,no
-4592588_0,165.23,no
-4592590#3_0,89.55,no
-4592591#1_0,52.19,no
-4592655#0_0,82.55,no
-4627817#2_0,66.99,no
-464916844#0_0,24.17,no
-464916844#1_0,33.94,no
-4687928#0_0,35.43,no
-4743764#3_0,82.36,no
-4743768#0_0,101.17,no
-4743769#5_0,60.53,no
-4743773#0_0,159.59,no
-4803403#2_0,75.32,no
-4803424_0,118.36,no
-4803426#0_0,45.87,no
-4803428#2_0,64.37,no
-4803428#6_0,67.44,no
-4803466#0_0,66.94,no
-4803511#5_0,65.42,no
-488736536#2_0,143.35,no
-49519792#2_0,46.06,no
-49600616#2_0,91.63,no
-49677585#0_0,99.05,no
-505860159_0,128.7,no
-5074648#1_0,28.45,no
-5074648#2_0,30,no
-507747915_0,21.93,no
-521669296#1_0,33.23,no
-521669304#3_0,77.32,no
-526016660#0_0,32.34,no
-526017777#1_0,61.82,no
-527458585#1_0,108.2,no
-527458585#2_0,59.24,no
-527458585#4_0,55.7,no
-536837425#1_0,143.98,no
-536837425#3_0,20.45,no
-536841066_0,85.76,no
-537731486_0,70.87,no
-537731488#0_0,40.02,no
-547047229#2_0,86.32,no
-547047277#2_0,116.17,no
-548529065_0,122.24,no
-548701322#1_0,38.73,no
-56081883#5_0,94.37,no
-5772446#0_0,68.09,no
-5772448#2_0,183.69,no
-5881715#0_0,67.39,no
-5881715#2_0,53.73,no
-5881716#0_0,117.22,no
-5881717#3_0,50.93,no
-5881726#2_0,94.19,no
-5881726#3_0,111.73,no
-5881731#2_0,56.17,no
-5881731#5_0,93.66,no
-5881743#3_0,170.84,no
-5881745#2_0,81.78,no
-591375095#0_0,29.7,no
-5944786#0_0,73.61,no
-5944787#0_0,113.04,no
-5944788#0_0,77.96,no
-5944806#0_0,159.02,no
-5944809#1_0,35.95,no
-5944810#0_0,132.51,no
-5944811#2_0,120.77,no
-5944813#2_0,123.72,no
-5944813#5_0,87.86,no
-5944814#8_0,134.84,no
-596514086#2_0,80.26,no
-596514086#5_0,85.91,no
-596514114#0_0,35.8,no
-596514114#3_0,65.52,no
-596514115_0,38.7,no
-603349777#1_0,89.24,no
-6275379_0,75.51,no
-6275380#0_0,75.03,no
-671965939#0_0,22.12,no
-671965939#3_0,71.46,no
-683609958#1_0,58.88,no
-683609958#5_0,110.61,no
-70732845#10_0,143.9,no
-70748300_0,58.94,no
-70748306#1_0,90.94,no
-70748311#1_0,60.97,no
-70748314#3_0,71.21,no
-70748315#0_0,75.57,no
-70748320#0_0,61.06,no
-70748320#2_0,116.37,no
-70748322#1_0,56.56,no
-70748324#1_0,48.9,no
-73223940#1_0,44.43,no
-791130340#1_0,29.91,no
-79855537#1_0,126.22,no
-808953715_0,59.88,no
-81552985#3_0,118.72,no
-81552990#3_0,33.14,no
-817867131#0_0,88.26,no
-817867132#0_0,22.97,no
-817922720#2_0,105.37,no
-817922720#3_0,42.08,no
-820964111#1_0,31.41,no
-820964111#5_0,126.51,no
-821304189#1_0,71.81,no
-822520818#0_0,40.49,no
-822520818#1_0,19.66,no
-822520819_0,83.38,no
-824639174#1_0,73.69,no
-824639175#3_0,69.28,no
-826188135#1_0,199.2,no
-82956882_0,57.22,no
-83115254#1_0,143.98,no
-842453938_0,61.25,no
-842455631_0,14.13,no
-860373106#0_0,71.54,no
-860373106#1_0,8.19,no
-861311402#2_0,100.66,no
-967647587#1_0,56.15,no
-967647588#2_0,67.91,no
-976011959#0_0,29.98,no
-9922841_0,70.98,no
-9935272#7_0,79.72,no
-9938219#4_0,60.56,no
-9938247#0_0,77,no
-9938260#8_0,83.74,no
-9938319#6_0,346.02,no
#NAME?,33.19,no
#NAME?,223.2,no
#NAME?,54.18,no
#NAME?,95.72,no
#NAME?,68.13,no
#NAME?,66.09,no
#NAME?,101.37,no
#NAME?,45.21,no
#NAME?,129.58,no
#NAME?,45.08,no
#NAME?,19.1,no
#NAME?,67.5,no
#NAME?,59.87,no
#NAME?,40.58,no
#NAME?,108.91,no
#NAME?,208.58,no
1007827874#0_0,82.14,no
1011249147#0_0,16.68,no
1011249147#1_0,49.04,no
1037128393#1_0,23.79,no
1037128394#1_0,82.89,no
1038193211_0,25.86,no
10690411_0,69.75,no
1089407128#0_0,43.42,no
1111971585#0_0,58.42,no
1111971585#3_0,38.44,no
1121159178#0_0,98.27,no
1163547442_0,61.25,no
1163550984#0_0,98.75,no
1163561640#0_0,84.77,no
11662745#0_0,91.47,no
11663107#2_0,45.52,no
11663107#6_0,119.24,no
11663148#3_0,97.97,no
11665222#0_0,94.85,no
11917063#0_0,84.7,no
11917566#0_0,80.78,no
11917566#3_0,106.46,no
11917566#6_0,57.24,no
129523162#0_0,93.16,no
13863761#0_0,75.63,no
144294982#0_0,155.58,no
146977154_0,158.46,no
147161796#0_0,40.49,no
147161798#0_0,69.61,no
147161801_0,20.39,no
147164232#0_0,101.09,no
147164233#2_0,169.71,no
147213253#0_0,80.8,no
147390905#0_0,119.94,no
147390905#2_0,77.49,no
147390905#5_0,81.43,no
147390905#8_0,65.04,no
147390907#0_0,117.98,no
149246860#0_0,95.09,no
149246860#3_0,76.38,no
149246860#5_0,53.67,no
152001420#0_0,102.63,no
152001420#2_0,88.87,no
15218593#0_0,56.72,no
15218593#0_2,56.72,no
152419232#0_0,72.33,no
15675699_0,89.24,no
15675729#0_0,126.26,no
15675745#0_0,41.17,no
15675937#0_0,196.91,no
159977163#0_0,77.58,no
164974564#0_0,83.55,no
164974564#3_0,56.16,no
170032520#1_0,15.32,no
170032532#1_0,111.65,no
170032532#2_0,32.27,no
170045671#1_0,223.28,no
179097891#0_0,94.26,no
188708013#0_0,47.52,no
188708013#1_0,160.82,no
194900947#0_0,99.56,no
198410712#0_0,19.37,no
206592705#0_0,71.53,no
207098749#0_0,113.35,no
207098749#3_0,86.78,no
207098958#0_0,72.56,no
207683800#0_0,74.91,no
208143935#0_0,63.55,no
209984840#0_0,99.16,no
212434409#0_0,38.59,no
217451773#0_0,104.12,no
227596610#0_0,22.49,no
22944585#0_0,82.22,no
22944589#0_0,97.86,no
24586239#1_0,84.66,no
24586241#0_0,83.38,no
24586242#0_0,75.37,no
24596908#0_0,32.18,no
26154816#0_0,75,no
26154817#0_0,61.29,no
26154838#0_0,31.16,no
26645212#0_0,141.74,no
26645917#6_0,101.3,no
26645942#0_0,61.18,no
26645995#0_0,96.71,no
26646052#0_0,114.46,no
26646987#0_0,62.34,no
26646994#0.98_0,55.98,no
26647215#0_0,79.49,no
27013842#0_0,78.81,no
27434188#0_0,64.81,no
27434188#4_0,73.42,no
27434188#6_0,198.86,no
27473985#0_0,105.36,no
28128254#0_0,36.64,no
284105543#0_0,86.29,no
28420432#0_0,80.16,no
284686645#0_0,54.65,no
284686646#2_0,95.61,no
284686646#5_0,36.84,no
284686647#0_0,67.33,no
284686649#0_0,68.96,no
284686651#0_0,95.88,no
284686652#0_0,110.91,no
284686653#0_0,56.34,no
284686653#2_0,51.08,no
284686657_0,63.61,no
28682845#0_0,71.12,no
28682845#1_0,59.52,no
28682845#3_0,69.75,no
28682845#5_0,43.89,no
28682845#7_0,27.32,no
28682875#0_0,53.87,no
28784092#4_0,54.14,no
28802238#0_0,117.68,no
28802405#0_0,28.85,no
28802414#0_0,127.14,no
28809053#0_0,146.11,no
28809053#3_0,121.26,no
28817182#0_0,100.66,no
28818201#3_0,96.81,no
28818210#5_0,53.76,no
28877536#0_0,128.7,no
288836366_0,44.37,no
289146494#0_0,150.68,no
28951462#0_0,94.99,no
29116100#0_0,77.37,no
29116100#2_0,62.94,no
29116100#4_0,70.87,no
29116100#6_0,73.06,no
291877171#0_0,147.89,no
298496090#0_0,91.73,no
298904469#1_0,99.29,no
298904469#3_0,105.6,no
30640404#0_0,85.25,no
30640404#7_0,51.15,no
31240870#0_0,47.83,no
31261713#0_0,165.23,no
313465298#0_0,59.62,no
31785331#0_0,139.62,no
32928276_0,56.56,no
32928358#0_0,65.11,no
32928358#2_0,78.48,no
32928358#4_0,101.33,no
32928505_0,54.62,no
32928521#0_0,40.61,no
